Company,Emp_2018,Emp_2019,Emp_2020,Emp_2021,Emp_2022,Emp_2023,Emp_2024,Emp_2025
63 Moons Technologies,810.0,725.0,694.0,725.0,810.0,794.0,863.0,319.0
Aban Offshore,545.0,512.0,498.0,487.0,456.0,429.0,429.0,429.0
ABG Shipyard,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1000.0,1000.0
ABP Group,2300.0,2300.0,2100.0,1900.0,1800.0,1700.0,1700.0,1700.0
ACC,7689.0,7023.0,6789.0,6082.0,4789.0,4256.0,3852.0,3170.0
Alkem Laboratories,14331.0,15357.0,16966.0,16871.0,17432.0,17277.0,20230.64747,21057.0
Allcargo Logistics,1025.0,932.0,959.0,739.0,537.0,537.0,537.0,182.0
Amartex,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
Angel One,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Apar Industries,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Action Construction Equipment,1115.0,1111.0,1184.0,1209.0,1387.0,1387.0,1387.0,1387.0
Action Group,99545.0,99545.0,99545.0,99545.0,99545.0,99545.0,99545.0,99545.0
Agriculture Insurance Company of India,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Air Costa,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Air India,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Air India Express,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Ajanta Group,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Alkem Laboratories,13644.0,14200.0,14500.0,14600.0,15000.0,15300.0,15700.0,16000.0
Allcargo Logistics,3700.0,3800.0,3900.0,4000.0,4200.0,4300.0,4400.0,4500.0
Amartex,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Ambuja Cements,6262.0,6281.0,6400.0,6700.0,6800.0,7052.0,7290.0,7500.0
Amrutanjan Healthcare,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
Amul,70000.0,72000.0,75000.0,77000.0,78000.0,80000.0,82000.0,83000.0
Angel One,16377.12702,17032.33256,17695.64434,18322.75346,19003.03926,19612.25115,20230.64747,20874.03448
